ID,PACIENTE,EXPERIMENTADOR,DATA,HORA,CONDICAOVERDADEIRA,TEMPOREACAO,CONDICAO,TENTATIVA,RESULTADO
718,exp2pac,exp2,30/11/2019 00:00:00,20:43                                   ,Dia,3.6235163,congruente                              ,1,1
719,exp2pac,exp2,30/11/2019 00:00:00,20:43                                   ,Noite,3.9569375,congruente                              ,2,1
720,exp2pac,exp2,30/11/2019 00:00:00,20:43                                   ,Noite,1.923393,congruente                              ,3,1
721,exp2pac,exp2,30/11/2019 00:00:00,20:43                                   ,Dia,1.9873544,congruente                              ,4,1
722,exp2pac,exp2,30/11/2019 00:00:00,20:43                                   ,Noite,1.5664059,congruente                              ,5,1
723,exp2pac,exp2,30/11/2019 00:00:00,20:43                                   ,Dia,2.0594857,congruente                              ,6,1
724,exp2pac,exp2,30/11/2019 00:00:00,20:43                                   ,Noite,1.8515353,congruente                              ,7,1
725,exp2pac,exp2,30/11/2019 00:00:00,20:43                                   ,Noite,2.6307641,congruente                              ,8,0
726,exp2pac,exp2,30/11/2019 00:00:00,20:43                                   ,Dia,2.3278514,congruente                              ,9,1
727,exp2pac,exp2,30/11/2019 00:00:00,20:43                                   ,Noite,1.9144343,congruente                              ,10,1
728,exp2pac,exp2,30/11/2019 00:00:00,20:43                                   ,Dia,2.9655207,congruente                              ,11,1
729,exp2pac,exp2,30/11/2019 00:00:00,20:43                                   ,Noite,2.7384382,congruente                              ,12,1
730,exp2pac,exp2,30/11/2019 00:00:00,20:43                                   ,Dia,3.6974748,incongruente                            ,1,1
731,exp2pac,exp2,30/11/2019 00:00:00,20:43                                   ,Noite,2.6575533,incongruente                            ,2,1
732,exp2pac,exp2,30/11/2019 00:00:00,20:43                                   ,Dia,3.0503982,incongruente                            ,3,1
733,exp2pac,exp2,30/11/2019 00:00:00,20:44                                   ,Dia,2.4048406,incongruente                            ,4,1
734,exp2pac,exp2,30/11/2019 00:00:00,20:44                                   ,Dia,2.546037,incongruente                            ,5,1
735,exp2pac,exp2,30/11/2019 00:00:00,20:44                                   ,Dia,2.3868907,incongruente                            ,6,1
736,exp2pac,exp2,30/11/2019 00:00:00,20:44                                   ,Noite,2.6794913,incongruente                            ,7,1
737,exp2pac,exp2,30/11/2019 00:00:00,20:44                                   ,Dia,2.6596512,incongruente                            ,8,1
738,exp2pac,exp2,30/11/2019 00:00:00,20:44                                   ,Dia,2.0435028,incongruente                            ,9,1
739,exp2pac,exp2,30/11/2019 00:00:00,20:44                                   ,Dia,2.5884419,incongruente                            ,10,1
740,exp2pac,exp2,30/11/2019 00:00:00,20:44                                   ,Noite,2.0765249,incongruente                            ,11,1
741,exp2pac,exp2,30/11/2019 00:00:00,20:44                                   ,Noite,2.3725524,incongruente                            ,12,1
742,exp2pac,exp2,30/11/2019 00:00:00,20:44                                   ,Dia*,4.4848156,mista                                   ,1,1
743,exp2pac,exp2,30/11/2019 00:00:00,20:44                                   ,Dia*,2.2731676,mista                                   ,2,1
744,exp2pac,exp2,30/11/2019 00:00:00,20:44                                   ,Noite*,4.1113157,mista                                   ,3,1
745,exp2pac,exp2,30/11/2019 00:00:00,20:44                                   ,Dia,3.2597502,mista                                   ,4,1
746,exp2pac,exp2,30/11/2019 00:00:00,20:44                                   ,Dia,1.814733,mista                                   ,5,1
747,exp2pac,exp2,30/11/2019 00:00:00,20:44                                   ,Noite*,1.9240118,mista                                   ,6,1
748,exp2pac,exp2,30/11/2019 00:00:00,20:44                                   ,Dia*,1.8698354,mista                                   ,7,1
749,exp2pac,exp2,30/11/2019 00:00:00,20:44                                   ,Noite*,1.7636941,mista                                   ,8,1
750,exp2pac,exp2,30/11/2019 00:00:00,20:44                                   ,Noite*,1.927508,mista                                   ,9,1
751,exp2pac,exp2,30/11/2019 00:00:00,20:45                                   ,Dia*,1.5678234,mista                                   ,10,1
752,exp2pac,exp2,30/11/2019 00:00:00,20:45                                   ,Dia,1.3690575,mista                                   ,11,1
753,exp2pac,exp2,30/11/2019 00:00:00,20:45                                   ,Dia*,2.1377213,mista                                   ,12,0